
---------- Begin Simulation Statistics ----------
simSeconds                                   0.303265                       # Number of seconds simulated (Second)
simTicks                                 303264811000                       # Number of ticks simulated (Tick)
finalTick                                303264811000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   6790.31                       # Real time elapsed on the host (Second)
hostTickRate                                 44661437                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    1218144                       # Number of bytes of host memory used (Byte)
simInsts                                    419443135                       # Number of instructions simulated (Count)
simOps                                      829696736                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    61771                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     122188                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        606529623                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       915587576                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                 25730532                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      921413087                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  35866                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            111621366                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         144415850                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  36                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           606414342                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.519445                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.661203                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 235644962     38.86%     38.86% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                 123725406     20.40%     59.26% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  90832943     14.98%     74.24% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  66485074     10.96%     85.20% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  47597853      7.85%     93.05% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  27777801      4.58%     97.63% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  13192766      2.18%     99.81% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   1130736      0.19%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     26801      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             606414342                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 2904370     40.22%     40.22% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     40.22% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     40.22% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     40.22% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     40.22% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     40.22% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     40.22% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     40.22% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     40.22% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     40.22% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     40.22% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%     40.22% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     40.22% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                     14      0.00%     40.22% # attempts to use FU when none available (Count)
