
---------- Begin Simulation Statistics ----------
simSeconds                                   0.263829                       # Number of seconds simulated (Second)
simTicks                                 263828644500                       # Number of ticks simulated (Tick)
finalTick                                263828644500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                  14036.47                       # Real time elapsed on the host (Second)
hostTickRate                                 18795945                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    1206396                       # Number of bytes of host memory used (Byte)
simInsts                                    685048767                       # Number of instructions simulated (Count)
simOps                                     1324124270                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    48805                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      94335                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        416097909                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                      1479360460                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       19                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                     1447876952                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  30979                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            155236203                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         180773662                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   1                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           414805722                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.490494                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.610547                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  80631699     19.44%     19.44% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  48834319     11.77%     31.21% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  33541650      8.09%     39.30% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  42526047     10.25%     49.55% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  48047677     11.58%     61.13% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  50060112     12.07%     73.20% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  45767587     11.03%     84.23% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                  35888646      8.65%     92.89% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                  29507985      7.11%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             414805722                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                15600225     98.56%     98.56% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     98.56% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     98.56% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     98.56% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     98.56% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     98.56% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     98.56% # attempts to use FU when none available (Count)
